名字,號碼,身高,位置
LeBron James,6,205.7,前鋒
Russell Westbrook,0,190.5,後衛
Patrick Beverley,21,188,後衛
Anthony Davis,3,208.3,"前鋒,中鋒"
Damian Jones,30,210.8,中鋒
Thomas Bryant,31,208.3,"前鋒,中鋒"
Troy Brown Jr.,7,200.7,"後衛,前鋒"
Lonnie Walker IV,4,193,"後衛,前鋒"
Wenyen Gabriel,35,205.7,前鋒
Juan Toscano-Anderson,95,198.1,前鋒
